,title,location,company,summary,salary,url
83,Production Supervisor,Ras al-Khaimah,Julphar,‎ Experience of minimum 5-6 years in Pharmaceutical Industry preferably ‎ • Experience in using various types of manufacturing machinery and tools • Previous…,,https://uae.indeed.com/rc/clk?jk=9420bfe6b63b2d43&fccid=02ea1bee6fdc4b67&vjs=3
85,Registered Midwife,Abu Dhabi,Royal Womens Hospital,"Works within a team of professional and medical staff that includes doctors, nurses, other healthcare providers and visiting doulas.Apr 6, 2021, 8:19:35 AM.",,https://uae.indeed.com/rc/clk?jk=509ef08156af5c27&fccid=5a95f39f200b3b5e&vjs=3
87,Sales Representative,Abu Dhabi,Delma Medical Center,"We endeavor to provide our services in a friendly, efficient and professional environment, while delivering premium healthcare solutions, which adhere to the…",,https://uae.indeed.com/rc/clk?jk=8bb87e5c16a4be04&fccid=d8add636e42b956a&vjs=3
88,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHB_xK07ZN3VBvlnrViWz2Zc5tOx377_Z-MGbeTM4YrqHAPp7EXR5Eshr7Q2eTf2HSH8tCOJOOLf5nMtGcm-_0l_4dAYb3jswx5NOysfWANnR2wX4uAiDGYBJOEg11w6_AA72HLWIRatwB4XYB5Ac6yUs0c9R4A5To6FQJdPkvzGE_jGWFNdR_6a0Gd5Z9FBxdVQxLqxAXLeh4tswTfedZlAxg1u7kCUqmnlVyiQYURkb7ArG0GG4z8txRUyd0LJR6WRQrCvo-p1QFj4GoLzAtjBuSJ52-J52c&p=13&fvj=1&vjs=3
89,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-uax6v8nq_G106WAdpAO7hF_2u5UiS3ZRbja7N1F9nRcBxyd8CD4oXAWs2oTEMY7ivXRHEE8RAqAahSQ8GHVUBfASZkuOl6tulzQOln_B1Kv9_3mluPdc-308Wh4NYyHhHGUHqyuBtSBjUzgoNcR8rJ0Mw07Xw_YEM_rjIUKbC3fpkv4owY4PVZiesi8mQj0OE00_to4TTrCcVM_JizOH1PAsdmy_5pUD090LL4d2tQeVrRQVxJZiye7qBs87_HLvyekRNkrWrkck=&p=14&fvj=1&vjs=3
90,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsH5tCPsiUqaVtvaTNgn7ejILk-42mDdzsT4WTHrZQMrtxFuWC1y5xOjstrlmkrGCTo_Ubdh8fuemkwK27Gn7cl7bCDHdr9nNK3T5wXxn1Gpw1ash-yQ1OwrqfRKC7TE4f-HxKbGwBtTjBrGuivtqRNI0r7SCxqi15evrz3SeDdd1KEi_rGoQAqjsXl3GTFtsXBmVBKlLU-xZ8fpWkrGfCeEqWYJvhj3NGy8_AaCIgDiFp-vmjCp-gHhvalQ5R4lE8JY7JVZqCTPwP0yIL7sU4302boeMtQehey9GeT1JggrvtzgmIAbpThMbUH3eTcgYXi&p=15&fvj=1&vjs=3
91,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAKOb4ibz486rI8C4EB-3oBt8pvSRvc1SvLLQ_hv7XqMTZrTGCK_Gl6o3os1JZZ8E0lS1Nmiu9BadJ5i968RECcFg0vhc1H4OwPE-35pF6lr7Fod3f4YXCeNIX1PXjOAL1i3yBAorAUjXem4TdSmlHJ0gEEuGDwi0yl-Eomn31jppSC8OPZDBOuO9Y8vVVErpKP0NEkX0xjpEFFjs-mGdamqnmUQx6LyMRca9WYsGxANBX7X6q-jBEJl4sPxcgQdQ2aWzD2CrqlsosPrG9wvXYi7nSSVfOW7rqwE2rjmpUGhw=&p=16&fvj=1&vjs=3
92,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_GfR2xG22FKEPl0ZTGbyOTm4X0i0xsXryzfv6etCB7ioXCVkO47OnhT6PMa9rR8TEH36TgoR5wPtM_5Ouhb1tACeAlb9xqh_wgBs5QC4t_2uWlJMKPs-u04cTq9zXPDCSEvbiIBlXrpGQUY8LNNKRRUgV8lwVs8TSCcL79UuZA7l8-usAYO_smHMlUkRun6tUzQW0F-DkQcctNQwV_bJ_X0LirM5rX36I7clgJiPYoCkM3XVZfzIHd5MMxH6h0OBvkPfjV_kjlN83ekmkccxTBg==&p=17&fvj=1&vjs=3
93,MR Modality Sales Manager,Abu Dhabi,GE Healthcare,Aware of current and future trends in healthcare technology and healthcare funding mechanisms.GE Healthcare is an Equal Opportunity Employer where inclusion…,,https://uae.indeed.com/rc/clk?jk=aecb59f6179b69e3&fccid=65b5f2aba4dbd31f&vjs=3
94,CMO Quality Manager,Dubai,Merck KGaA,"Our 57,000 people are shaping how the world lives, works and plays through next generation advancements in healthcare, life science and Electronics.",,https://uae.indeed.com/rc/clk?jk=515d7f497ba4f430&fccid=68d0e0954a811351&vjs=3
96,Plastic Surgeon,Abu Dhabi,Everlast Wellness Medical Center,We are seeking a highly-skilled Plastic Surgeon to join our growing healthcare team.Examine and diagnose patients to identify the abnormality and the suitable…,,https://uae.indeed.com/company/everlast-wellness/jobs/Plastic-Surgeon-e54ba8cc7e799ac3?fccid=582213d847361384&vjs=3
97,Project Manager (Healthcare),Abu Dhabi,HAYS,"Project Manager to lead implementation and support team in planning, executing, monitoring, controlling and closing for an AI Healthcare company.",,https://uae.indeed.com/rc/clk?jk=d38c44a276aa0b53&fccid=31670bef3ae6497b&vjs=3
98,Exhibition Coordinator,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=322184a3a88c3744&fccid=9628b0bd10bde506&vjs=3
99,Ladies only Customer Service Executive / Business Developmen...,Dubai,Wellness Clinic Ladies,Previous experience in Healthcare industry will be a plus.Dubai based clinic looks for a FEMALE Customer Service Exceutive for Business Development department.,"AED5,000 a month",https://uae.indeed.com/company/De-Novu-Institute/jobs/Lady-Only-Customer-Service-Executive-44dd5c2935d8ad8a?fccid=6c7a0ff3b2f7a02d&vjs=3
100,Digital Building Key Account Manager,Abu Dhabi,Schneider Electric,"Segments of focus will be hotels, real estate and healthcare.Digital Building Key Account Manager.The primary objective of this role is to lead, develop,…",,https://uae.indeed.com/rc/clk?jk=a255aae098c429d0&fccid=8dc4399ddb463d4a&vjs=3
101,Consultant/Specialist Physician,Abu Dhabi,Iqarus,"Iqarus has a proud history, extending over 40 years, of delivering fully-integrated healthcare solutions in complex and demanding operating environments.",,https://uae.indeed.com/rc/clk?jk=49c6a7248028cfaf&fccid=63ead7dc1c6f4cde&vjs=3
102,Female HR & Licensing Officer,Al-Ayn,Ayadi Home Health Care,"Process and manage facility and healthcare professionals licensure for HAAD, MOH, and DHA process Data flow.Awareness in HR policies & procedures.",,https://uae.indeed.com/company/ayadi-home-care/jobs/Female-Human-Resource-Licensing-Officer-59f744a2c00c0486?fccid=bb7df2d35e223e89&vjs=3
103,Temporary Senior Student Leadership Coordinator,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=8d8811b1e808af07&fccid=9628b0bd10bde506&vjs=3
104,In Home Caregiver,Abu Dhabi,BREATH GENERAL TRADING,HEALTHCARE ASSISTANT IS URGENTLY NEEDED.APPLICANTS WHO CAN START IMMEDIATELY WILL BE PRIORITIZED.PREFERRABLY WITH VAST KNOWLEDGE AND EXPERIENCE ON ASSISTING…,,https://uae.indeed.com/company/BREATH-GENERAL-TRADING/jobs/Home-Caregiver-f9cf762fd6deb621?fccid=538daaf04eebd4b1&vjs=3
105,Data Management Coordinator - Clinical Governance,Dubai,American Hospital Dubai,"Knowledgeable about medical terminology, appropriate level of healthcare and healthcare delivery systems.To maintain, develop and provide specialist advice on…",,https://uae.indeed.com/rc/clk?jk=e07eeebaceace903&fccid=e9a454b798c6935c&vjs=3
106,Technical Support Specialist- Healthcare,Dubai,InterSystems,"You will have the opportunity to work with some of the world's leading organizations in healthcare, finance, telecommunications, and other industries.",,https://uae.indeed.com/rc/clk?jk=bbcdf5631c58da06&fccid=6b4b2a01b2417a65&vjs=3
108,MALE Registered Nurse RN,Abu Dhabi,Private healthcare facility,"With DOH license/ passer, DHA licensed.Can join immediately or after one month notice period.Up to AED8,000.00 per month.","AED8,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOETV5Bs7rDQWVE066h2xm0B-XXIpJU-oih2VvoI5D5tckc-f8qHSzqM35pEGA3w1mEI8YNUnzTWJzRpjdH7Qf-9RGscLNEhwkiWwiuvOorVdP8r3-RYzedsyRiHoK-upQgqUtx9Tcbo6OFWBGskfovemV-THemx_QlrB2U3bPbhhq3b2v9VaykwQ6ObpRqlCWJvgNPEFnVp2vj4FJ9902TdTHxzfYH2Rysv8j6ysX9aQmhXejyGbPt1pTyPxp7rsPV0iZhWEJ22cPWQCfrqneO1MkW4COLUOSgN1U5xWP0saNM-35zKfSodUJnI-BSVjyf3ZFodDthxU8PcpZCFzNB7_I0YBAtSUj8OftumqC1PmL-k77MnLh6Ys64uo7P8JDKzBHHIjbpsQF9ShlsDEBOw==&p=0&fvj=1&vjs=3
109,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAZsQV0ETR_buIpMrUhv0-jCY2i-U0I8xTC_LLcOZteEg-ZXMFQJ19_72PyxJ__dLIEIOEcbPe0kMPq_nKkihVd8biX5RzP5Le2c_jJMKGe353kZSSXnm08wWmctLWDvMY_b3CaT0gNqYuTmWcR-f9X1_UwkmN5QbAJzsY9APEgJzAHMbddU_mDgYRPr7AGwfcTnGdb-5QisOUBOa5x81DY6MMkfNITI7_cxtyLyP-l-B67sHOkek6qLZ-cKm-kMs4OrYtUH9DxD4zI3JZmYMavw==&p=1&fvj=1&vjs=3
110,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9OgP--RV7ZAw-5G9LqeGBSCddwcncPbD1FJzocjTTUpEaIZG5FWF1zUFP1IpSUF3dhh03F2HChA3K1yH7okxnWcT547xVJZUN-42e431Dwr3dQ6rzCmiS28q7yZBLs5nljDEkbNIaRjuqpw6CxCbEuEP-XyDbL4s_BYfKUDC3yCzkWtKIFI5NEdID1uA7qiPU6-yr_JlueNZdUN_YTj5HWa0HqlHYW8j_jVrAdPw1y7mVPcySz6a__bEnUwND-tgtuVLramRmVKCE=&p=2&fvj=1&vjs=3
117,.NET Developer/Programmer,Abu Dhabi,Independent Health Information Technology Services,"At inHealth, we connect the stakeholders within the healthcare community by providing a user-friendly interface that facilitates easy communication across the…",,https://uae.indeed.com/rc/clk?jk=3cf6dc0eed47f12d&fccid=87fc1d02db297652&vjs=3
121,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAH32V7A7VavxXUVWNN0tiKsxbMIVknOs2epNcCLEv-X8KACnevQ9ePbhB22vL1ZYmnVB4E7Yrpv5Cw1HkJ8o0zzLBDke18gmXg2w0oC_3tvuxaTXIeoTGrPZmBDyot9ygAObSftxHrNeQoEmSWScp_rKmE2WMjWAYQG6139bF6oR5FrliMt7_lwYNrkQTlrTZ79hGtgmkcUXxxO52X7HFr8l_TTuOOGmY11GgMWJqqB3P6ufCl950PdF4Ibk_kMrykqvYgjLWXJWGgJmI122fa8ALJUd9kZeOH&p=13&fvj=1&vjs=3
122,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-usJibH1J_bWJkXzGPZ_7xA6IqLEPYl7jjKrsxSInXV3bzZAgiyAkIHX8P9mPxv2QlbUauQh6jMU_dcTLeMMM9oymFx08K8iEkOd0NQk28UjLZreOewB4Xph4v3RWcCWYHQw-5qk-Fd9Qy_iGKX8XjXIPij0XfPSOCL_icWx5w0nrG1rqMRT1TmaD2tqnwvs9sEvOzuYbF5I8x-7VW0n5L0p4rM0VhZEwMNWUnmm8GQdmIIZyfC-vADhXknVHT107oqG4FPeihLiA=&p=14&fvj=1&vjs=3
123,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHLS61ca0AjNYSNeE4x4s1Q4PC29EFXgIwFYsik1mPDHhsvzHg34zZoYcgBL6H_3NNHqeYL54HQ0sSJAvorvw-bY4eTH0blpcbCU1bkOmcgyFhKvNnbUVXL9T3LQfYIZq-vE7tK3CCS0jC8eFPDio4vOnJmldpTh1p4I7arBme6YMkt8hDCqpBSFxECcK0H5-tqpnSGYXwTsS0nfNfAZ5L-ZdQ8gBhQstyt5tASK_yWZu5EGlH30IgX2nbkOnjmYtNwzxt7BujZM1xFGirqzvzvGO0R2aiPyBPXXM2QXj4F45h0njNC2F-gN9zW_1kwKRv&p=15&fvj=1&vjs=3
124,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAPNNlFzzlqdXWvz4IMSRRM01y4047mXaYA0DGi_BGIMPEA1dG40E140o6hHg77-npxblJuX-rvyVqIpBCZG87o4B_EJLtxmra_tJw6n4zVPaihmnz8SqV27eZ5TIqmk5rqB0hslZliDXC5F2TJxyLZ3S26yHPjDYZLCTetuf7-qZDObhbKL-c9RROBPnnfATs42CnCvAj4YFsd-rpQjv3CYsB_WGXUUTtpYIxTrvuia3PGC0dGsn1LWWJS6PGd4F1iWlXX3mCuDrXOlhYGbMmDwhmnuyksOS2uJTk7NQjNvA=&p=16&fvj=1&vjs=3
125,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_AqyeSofQM5SO_DMwIrN2gRbs1hmOJ-jzr2BFWeKcEegnGqHQzkdACJ-7UjTrwuV0Q55Y_375y0ekRW5EEFktsvrhk1rsYZzGoC6qEbdwqa97jg0KVYu3FU0BwFBK-0T1mvdcc4P385G7lIaZHuFffD2uWrgx1Kkbo74lP0brFDMfudKG0XbwXqcNEx0vDkHsawDTw9rN42Zfydten6j3h10n-vVRCTj_awD7lebb-raZzc5NY_zeCBRpzi5gvS4b2q8_iISu1-9RioGVcZ1C1g==&p=17&fvj=1&vjs=3
126,Business Development Manager - Healthcare,Dubai,First Response Healthcare LLC,First Response Healthcare LLC is a JCI-accredited Home healthcare Organization and we are one of Dubai’s leading Home Healthcare Company.,,https://uae.indeed.com/company/First-Response-Healthcare-LLC/jobs/Business-Development-Manager-ed3958d29dbbc37e?fccid=338ac8ec172730d9&vjs=3
127,Chartered Accountant,Dubai,Jumeirah Medical Center,A prestigious healthcare group in UAE is looking for Accountants with UAE experience.Salary is given on time.30 days leave with yearly air ticket allowance.,"AED10,000 a month",https://uae.indeed.com/company/Emirates-Clinic/jobs/Chartered-Accountant-4edb65f6ded8a076?fccid=cd1330ec66d2db11&vjs=3
128,Healthcare Audit Manager,Dubai,AXA,"With minimum 3 years work experience in Healthcare Insurance specifically in Claims, Approvals and in Network Provider relationship.",,https://uae.indeed.com/rc/clk?jk=6cdfb74211b77427&fccid=753062d67d31c43a&vjs=3
129,General Practitioner,Abu Dhabi,Global Human Capital Group (CHCG),"To ensure efficient and effective communication with patients, families and other members of the healthcare teams.GP SURGERY • GP PEDIATRICS WE OFFER:",,https://uae.indeed.com/rc/clk?jk=42e27644ff38b7a6&fccid=a7b982202b5c1b9f&vjs=3
130,Project Manager,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=b2e3d8b17a78e547&fccid=9628b0bd10bde506&vjs=3
131,MR Sales Specialist - ME,Dubai,GE Healthcare,"Maintains knowledge of and understands all applicable Environmental Health Policies (including but not limited to GE Healthcare EHS Policies, GE Healthcare…",,https://uae.indeed.com/rc/clk?jk=d63da662cffff0a2&fccid=65b5f2aba4dbd31f&vjs=3
132,Embryologist,Abu Dhabi,Specialist Medical Clinic,"Kare Plus-MENA are a market leading (Permanent) Staffing Services provider dedicated to sourcing niche skilled and high caliber talent such as Doctors, Nurses,…","AED28,500 a month",https://uae.indeed.com/company/Kare-Plus-MENA/jobs/Embryologist-7a411435d8c196c3?fccid=055308cc62e6e80b&vjs=3
